Loading inference model from files models/output_graph.pbLoaded inference model in 0.21s.# File (10_A_1.wav):
# - actual    text: 'which movies did tom cruise play in'
# - processed text: 'rich movie stick tompres play and'
# - processed in 2.655 seconds.
# - WER = 0.857
# File (19_K_7.wav):
# - 1.9551875 seconds long.
# - actual    text: 'what do you dream about'
# - processed text: 'what do o you dream about'
# - processed in 2.002 seconds.
# - WER = 0.2
# File (19_K_8.wav):
# - 1.790875 seconds long.
# - actual    text: 'what's your favourite colour'
# - processed text: 'what's your favorite calar'
# - processed in 1.804 seconds.
# - WER = 0.4
# File (19_K_9.wav):
# - 2.1 seconds long.
# - actual    text: 'what do you do when i'm not at home'
# - processed text: 'what do you do when i look at home'
# - processed in 2.121 seconds.
# - WER = 0.2
# File (1_A_1.wav):
# - 2.074125 seconds long.
# - actual    text: 'athena turn on the lights'
# - processed text: 'a fenan turn on the lights'
# - processed in 2.115 seconds.
# - WER = 0.4
# File (1_A_2.wav):
# - 2.2230625 seconds long.
# - actual    text: 'minerva turn on the lights'
# - processed text: 'miner ofa turn on the lights'
# - processed in 2.23 seconds.
# - WER = 0.4
# File (1_A_3.wav):
# - 2.0955 seconds long.
# - actual    text: 'artemis turn on the lights'
# - processed text: 'o omost turn on the lights'
# - processed in 2.145 seconds.
# - WER = 0.4
# File (1_A_4.wav):
# - 2.1655625 seconds long.
# - actual    text: 'freya turn on the lights'
# - processed text: 'fraa turn on the lights'
# - processed in 2.182 seconds.
# - WER = 0.2
# File (1_A_5.wav):
# - 2.2999375 seconds long.
# - actual    text: 'james turn on the lights'
# - processed text: 'james turn on the lights'
# - processed in 2.315 seconds.
# - WER = 0.0
# File (1_A_6.wav):
# - 2.3104375 seconds long.
# - actual    text: 'computer turn on the lights'
# - processed text: 'computer turn on the lights'
# - processed in 2.337 seconds.
# - WER = 0.0
# File (1_B_1.wav):
# - 2.161625 seconds long.
# - actual    text: 'mute unmute'
# - processed text: 'mute unmute'
# - processed in 2.16 seconds.
# - WER = 0.0
# File (1_B_2.wav):
# - 2.1781875 seconds long.
# - actual    text: 'stop abort'
# - processed text: 'stop a board'
# - processed in 2.177 seconds.
# - WER = 1.0
# File (1_B_3.wav):
# - 2.126625 seconds long.
# - actual    text: 'pause resume'
# - processed text: 'pause resumed'
# - processed in 2.116 seconds.
# - WER = 0.5
# File (1_B_4.wav):
# - 2.0955 seconds long.
# - actual    text: 'next back'
# - processed text: 'next back'
# - processed in 2.102 seconds.
# - WER = 0.0
# File (1_B_5.wav):
# - 0.8686875 seconds long.
# - actual    text: 'louder'
# - processed text: 'louder'
# - processed in 0.859 seconds.
# - WER = 0.0
# File (1_B_6.wav):
# - 1.41725 seconds long.
# - actual    text: 'turn the volume down'
# - processed text: 'turn the vallume down'
# - processed in 1.441 seconds.
# - WER = 0.25
# File (1_B_7.wav):
# - 1.6695 seconds long.
# - actual    text: 'set volume to six'
# - processed text: 'said volume to six'
# - processed in 1.679 seconds.
# - WER = 0.25
# File (1_C_1.wav):
# - 1.959125 seconds long.
# - actual    text: 'play some music by bon jovi'
# - processed text: 'place some music by bondroovi'
# - processed in 2.015 seconds.
# - WER = 0.5
# File (1_C_2.wav):
# - 2.2608125 seconds long.
# - actual    text: 'play my eighties rock playlist now'
# - processed text: 'play my eighties rock playwist now'
# - processed in 2.315 seconds.
# - WER = 0.167
# File (1_C_3.wav):
# - 1.82275 seconds long.
# - actual    text: 'what song is currently playing'
# - processed text: 'what song is currently playing'
# - processed in 1.85 seconds.
# - WER = 0.0
# File (1_C_4.wav):
# - 2.31875 seconds long.
# - actual    text: 'please add this song to my favourites'
# - processed text: 'please ad the song to my favourites'
# - processed in 2.418 seconds.
# - WER = 0.286
# File (1_C_5.wav):
# - 1.916125 seconds long.
# - actual    text: 'what can i do with the music skill'
# - processed text: 'what can i do with the music skill'
# - processed in 1.931 seconds.
# - WER = 0.0
# File (1_D_1.wav):
# - 2.3905 seconds long.
# - actual    text: 'set an alarm for five am please'
# - processed text: 'set analarm for five a m leas'
# - processed in 2.413 seconds.
# - WER = 0.714
# File (1_D_2.wav):
# - 2.4149375 seconds long.
# - actual    text: 'how much time is left on my pizza timer'
# - processed text: 'how much time is left on my pizz a timer'
# - processed in 2.464 seconds.
# - WER = 0.222
# File (1_D_3.wav):
# - 2.8040625 seconds long.
# - actual    text: 'remind me of the tennis training tonight at five'
# - processed text: 'reminds me of the tennis training to night atfive'
# - processed in 2.903 seconds.
# - WER = 0.444
# File (1_D_4.wav):
# - 1.6068125 seconds long.
# - actual    text: 'cancel all my timers'
# - processed text: 'cancel al my timeers'
# - processed in 1.606 seconds.
# - WER = 0.5
# File (1_D_5.wav):
# - 0.8884375 seconds long.
# - actual    text: 'what's the date'
# - processed text: 'what's the date'
# - processed in 0.891 seconds.
# - WER = 0.0
# File (1_D_6.wav):
# - 1.8861875 seconds long.
# - actual    text: 'when is easter sunday this year'
# - processed text: 'when as easter sunday this year'
# - processed in 1.891 seconds.
# - WER = 0.167
# File (1_E_1.wav):
# - 2.4149375 seconds long.
# - actual    text: 'add milk and cheese to my shopping list'
# - processed text: 'ad milkan cheese to my shoppingless'
# - processed in 2.514 seconds.
# - WER = 0.625
# File (1_E_2.wav):
# - 1.517 seconds long.
# - actual    text: 'create a new appointment'
# - processed text: 'create a new appointment'
# - processed in 1.531 seconds.
# - WER = 0.0
# File (1_E_3.wav):
# - 4.4104375 seconds long.
# - actual    text: 'put doctor smith on my calendar for nineteenth of july at five pm'
# - processed text: 'put doctors smith on my calender for nineteenth of july at five pm'
# - processed in 4.613 seconds.
# - WER = 0.154
# File (1_E_4.wav):
# - 2.345125 seconds long.
# - actual    text: 'remind me to mow the lawn next saturday'
# - processed text: 'reminds me to mode the lawn next seturday'
# - processed in 2.379 seconds.
# - WER = 0.375
# File (1_E_5.wav):
# - 2.125625 seconds long.
# - actual    text: 'what reminders do i have for this weekend'
# - processed text: 'what reminders do i have hor this weekend'
# - processed in 2.158 seconds.
# - WER = 0.125
# File (1_F_1.wav):
# - 2.1196875 seconds long.
# - actual    text: 'give me articles about politics'
# - processed text: 'give me ourticles about politics'
# - processed in 2.154 seconds.
# - WER = 0.2
# File (1_F_2.wav):
# - 1.0946875 seconds long.
# - actual    text: 'tell me the news'
# - processed text: 'tell me the news'
# - processed in 1.124 seconds.
# - WER = 0.0
# File (1_F_3.wav):
# - 1.1079375 seconds long.
# - actual    text: 'what happened today'
# - processed text: 'what happenes to day'
# - processed in 1.116 seconds.
# - WER = 1.0
# File (1_F_4.wav):
# - 1.896125 seconds long.
# - actual    text: 'which news topics are available'
# - processed text: 'which news topics are available'
# - processed in 1.918 seconds.
# - WER = 0.0
# File (1_F_5.wav):
# - 2.7143125 seconds long.
# - actual    text: 'set business as preferred news category'
# - processed text: 'said business as preferred news cabegory'
# - processed in 2.779 seconds.
# - WER = 0.333
# File (1_F_6.wav):
# - 1.576875 seconds long.
# - actual    text: 'how does the news skill work'
# - processed text: 'how does the new skill work'
# - processed in 1.587 seconds.
# - WER = 0.167
# File (1_F_7.wav):
# - 1.9959375 seconds long.
# - actual    text: 'will it rain today in manchester'
# - processed text: 'wil it rains to day and manchester'
# - processed in 2.039 seconds.
# - WER = 0.833
# File (1_F_8.wav):
# - 2.115625 seconds long.
# - actual    text: 'what's the weather going to be like on sunday'
# - processed text: 'what's the weather going to be like on sunday'
# - processed in 2.192 seconds.
# - WER = 0.0
# File (1_F_9.wav):
# - 1.62675 seconds long.
# - actual    text: 'do i need an umbrella tomorrow'
# - processed text: 'do i need an umbrella tomorrow'
# - processed in 1.657 seconds.
# - WER = 0.0
# File (1_G_1.wav):
# - 2.9238125 seconds long.
# - actual    text: 'how long does it take from london to liverpool by car'
# - processed text: 'how long as it take from london to liverapool by car'
# - processed in 3.042 seconds.
# - WER = 0.182
# File (1_G_2.wav):
# - 3.40275 seconds long.
# - actual    text: 'set my location to kennington road four in london'
# - processed text: 'seid my location to kenning to rode for in london'
# - processed in 3.469 seconds.
# - WER = 0.556
# File (1_G_3.wav):
# - 1.7165625 seconds long.
# - actual    text: 'i need help with navigation'
# - processed text: 'i need hope with navigation'
# - processed in 1.747 seconds.
# - WER = 0.2
# File (1_G_4.wav):
# - 2.5346875 seconds long.
# - actual    text: 'what restaurants are within five kilometres'
# - processed text: 'what restaurants are within five colometers'
# - processed in 2.602 seconds.
# - WER = 0.167
# File (1_G_5.wav):
# - 2.554625 seconds long.
# - actual    text: 'how far is it to the university of oxford'
# - processed text: 'how far as it to the university of oxfford'
# - processed in 2.614 seconds.
# - WER = 0.222
# File (1_G_6.wav):
# - 3.9015625 seconds long.
# - actual    text: 'how long does it take from buckingham palace to tower of london on foot'
# - processed text: 'how long does it take from buckin him pallace to tower of london on foot'
# - processed in 4.109 seconds.
# - WER = 0.214
# File (1_G_7.wav):
# - 1.9859375 seconds long.
# - actual    text: 'find me a burger restaurant nearby'
# - processed text: 'finds me a burger restaurant nearby'
# - processed in 2.017 seconds.
# - WER = 0.167
# File (1_G_8.wav):
# - 2.345125 seconds long.
# - actual    text: 'what's the address of the nearest tesco store'
# - processed text: 'what's the address of the nearest tesscoa dore'
# - processed in 2.424 seconds.
# - WER = 0.222
# File (1_H_1.wav):
# - 1.5968125 seconds long.
# - actual    text: 'how many feet are in a mile'
# - processed text: 'how many feed are in a mile'
# - processed in 1.61 seconds.
# - WER = 0.143
# File (1_H_2.wav):
# - 1.8263125 seconds long.
# - actual    text: 'what's seven times forty four'
# - processed text: 'what seven times werety for'
# - processed in 1.847 seconds.
# - WER = 0.5
# File (1_H_3.wav):
# - 2.7541875 seconds long.
# - actual    text: 'what's two hundred twenty five divided by five'
# - processed text: 'what's to hundred twenty five do bided by five'
# - processed in 2.82 seconds.
# - WER = 0.333
# File (1_H_4.wav):
# - 2.6444375 seconds long.
# - actual    text: 'what's fifteen percent of one hundred twenty eight'
# - processed text: 'what stiffteen por cent of one hundred twenty eight'
# - processed in 2.762 seconds.
# - WER = 0.333
# File (1_H_5.wav):
# - 2.28525 seconds long.
# - actual    text: 'is three hundred thirty seven a prime number'
# - processed text: 'is three hundred thirty seven a prime number'
# - processed in 2.406 seconds.
# - WER = 0.0
# File (1_I_1.wav):
# - 1.6666875 seconds long.
# - actual    text: 'what's the definition of cat'
# - processed text: 'what's the definition of cat'
# - processed in 1.703 seconds.
# - WER = 0.0
# File (1_I_2.wav):
# - 1.796375 seconds long.
# - actual    text: 'what does to share mean'
# - processed text: 'what does to share mean'
# - processed in 1.81 seconds.
# - WER = 0.0
# File (1_I_3.wav):
# - 1.7165625 seconds long.
# - actual    text: 'how do you spell date'
# - processed text: 'how do you spell date'
# - processed in 1.752 seconds.
# - WER = 0.0
# File (1_I_4.wav):
# - 1.9460625 seconds long.
# - actual    text: 'tell me words that start with an a'
# - processed text: 'tell me words that start with an ang'
# - processed in 1.988 seconds.
# - WER = 0.125
# File (1_I_5.wav):
# - 2.7903125 seconds long.
# - actual    text: 'which words contain c o n'
# - processed text: 'which werds containd sea o an'
# - processed in 2.8 seconds.
# - WER = 0.667
# File (1_I_6.wav):
# - 1.544625 seconds long.
# - actual    text: 'can you translate cat'
# - processed text: 'can you translate cat'
# - processed in 1.55 seconds.
# - WER = 0.0
# File (1_I_7.wav):
# - 1.6493125 seconds long.
# - actual    text: 'what is dog in german'
# - processed text: 'what is dog in german'
# - processed in 1.664 seconds.
# - WER = 0.0
# File (1_I_8.wav):
# - 2.9871875 seconds long.
# - actual    text: 'set the number of words for translations to three'
# - processed text: 'set the number of words for translations to three'
# - processed in 3.198 seconds.
# - WER = 0.0
# File (1_I_9.wav):
# - 1.9360625 seconds long.
# - actual    text: 'what is another word for dashboard'
# - processed text: 'what is another word for dash board'
# - processed in 2.003 seconds.
# - WER = 0.333
# File (1_J_1.wav):
# - 2.0956875 seconds long.
# - actual    text: 'turn on the living room lights please'
# - processed text: 'turn on the living room lights please'
# - processed in 2.147 seconds.
# - WER = 0.0
# File (1_J_2.wav):
# - 3.0834375 seconds long.
# - actual    text: 'set the temperature in the kitchen to twenty two degrees'
# - processed text: 'set the temperature in the kitchen to twenty two degrees'
# - processed in 3.348 seconds.
# - WER = 0.0
# File (1_J_3.wav):
# - 2.07575 seconds long.
# - actual    text: 'set the shutters to fifty percent'
# - processed text: 'set the shutters to fifty percent'
# - processed in 2.115 seconds.
# - WER = 0.0
# File (1_J_4.wav):
# - 1.916125 seconds long.
# - actual    text: 'please lower the blinds by half'
# - processed text: 'please lower the blinds by half'
# - processed in 1.959 seconds.
# - WER = 0.0
# File (1_K_1.wav):
# - 1.6466875 seconds long.
# - actual    text: 'how old is queen elizabeth'
# - processed text: 'how old is queen elizabeth'
# - processed in 1.672 seconds.
# - WER = 0.0
# File (1_K_10.wav):
# - 1.2276875 seconds long.
# - actual    text: 'do you like to travel'
# - processed text: 'do you like to travel'
# - processed in 1.234 seconds.
# - WER = 0.0
# File (1_K_11.wav):
# - 1.6566875 seconds long.
# - actual    text: 'what kind of music do you like'
# - processed text: 'what kind of music do you like'
# - processed in 1.716 seconds.
# - WER = 0.0
# File (1_K_2.wav):
# - 2.06575 seconds long.
# - actual    text: 'how many people live in australia'
