Loading inference model from files models/output_graph.pbLoaded inference model in 0.259s.Loading language model from files models/alphabet.txt models/trieLoaded language model in 22.4s.# File (1089-134686-0000.flac):
# - actual    text: 'the arc lamp installed outside a customer's premises or in a circuit for public street lighting burned so many hours nightly so many nights in the month and was paid for at that rate subject to rebate for hours when the lamp might be out through accident'
# - processed text: 'the arc lamp and stalled outside a customer's promises or in a circuit for public street lighting burned so many hours nightly so many nights in the month and was paid for at that rate subject to rebate for hours when the lamp might be out through accident'
# - processed in 99.671 seconds.
# - WER = 0.062
# File (2300-131720-0027.flac):
# - 8.62 seconds long.
# - actual    text: 'edison held that the electricity sold must be measured just like gas or water and he proceeded to develop a meter'
# - processed text: 'even held that the electricity soul must be measured just like gas or water and he proceeded to develop a meter'
# - processed in 48.376 seconds.
# - WER = 0.095
# File (2300-131720-0028.flac):
# - 25.94 seconds long.
# - actual    text: 'there was infinite scepticism around him on the subject and while other inventors were also giving the subject their thought the public took it for granted that anything so utterly intangible as electricity that could not be seen or weighed and only gave secondary evidence of itself at the exact point of use could not be brought to accurate registration'
# - processed text: 'there was infinite skepticism around him on the subject and while other inventors were also giving the subject there thought the public took it for granted that any thing so utterly intangible as electricity that could not be seen or weighed and only gave secondary evidence of itself at the exact point of use could not be brought to accurate registration'
# - processed in 146.33 seconds.
# - WER = 0.067
# File (2300-131720-0029.flac):
# - 6.425 seconds long.
# - actual    text: 'hence the edison electrolytic meter is no longer used despite its excellent qualities'
# - processed text: 'hence the edison electrolytic meter is no longer used despite its excellent qualities'
# - processed in 36.065 seconds.
# - WER = 0.0
# File (2300-131720-0030.flac):
# - 9.98 seconds long.
# - actual    text: 'the principle employed in the edison electrolytic meter is that which exemplifies the power of electricity to decompose a chemical substance'
# - processed text: 'the principle employed in the edison electrolytic meter is that which exemplifies the power of electricity to decompose a chemical substance'
# - processed in 56.289 seconds.
# - WER = 0.0
# File (2300-131720-0031.flac):
# - 16.585 seconds long.
# - actual    text: 'associated with this simple form of apparatus were various ingenious details and refinements to secure regularity of operation freedom from inaccuracy and immunity from such tampering as would permit theft of current or damage'
# - processed text: 'associated with this simple form of apparatus were various ingenious details and refinements to secure regularity of operation freedom from inaccuracy and immunity from such tampering as would permit theft of current or damage'
# - processed in 92.82 seconds.
# - WER = 0.0
# File (2300-131720-0032.flac):
# - 11.69 seconds long.
# - actual    text: 'the standard edison meter practice was to remove the cells once a month to the meter room of the central station company for examination another set being substituted'
# - processed text: 'the standard at ion meter practice was to remove the cells once a month to the meter room of the central station company for examination another set being substituted'
# - processed in 65.779 seconds.
# - WER = 0.071
# File (2300-131720-0033.flac):
# - 17.605 seconds long.
# - actual    text: 'in december eighteen eighty eight mister w j jenks read an interesting paper before the american institute of electrical engineers on the six years of practical experience had up to that time with the meter then more generally in use than any other'
# - processed text: 'in december eighteen eighty eight mister b j jacks read an interesting paper before the american institute of electrical engineers on the six years of practical experience had up to that time with the meter then more generally in use than any other'
# - processed in 98.589 seconds.
# - WER = 0.047
# File (2300-131720-0034.flac):
# - 8.605 seconds long.
# - actual    text: 'the others having been in operation too short a time to show definite results although they also went quickly to a dividend basis'
# - processed text: 'be others having been in operation too short a time to show definite results although they also went quickly to a dividend basis'
# - processed in 48.818 seconds.
# - WER = 0.043
# File (2300-131720-0035.flac):
# - 25.49 seconds long.
# - actual    text: 'in this connection it should be mentioned that the association of edison illuminating companies in the same year adopted resolutions unanimously to the effect that the edison meter was accurate and that its use was not expensive for stations above one thousand lights and that the best financial results were invariably secured in a station selling current by meter'
# - processed text: 'in this connection it should be mentioned that the association of edison illuminating companies in the same year adopted resolutions unanimously to the effect that the edison mater was accurate and that its use was not expensive for stations above one thousand lights and that the best financial results were invariably secured in a station selling current by meter'
# - processed in 143.116 seconds.
# - WER = 0.017
# File (2300-131720-0036.flac):
# - 7.085 seconds long.
# - actual    text: 'the meter continued in general service during eighteen ninety nine and probably up to the close of the century'
# - processed text: 'the meter continued in general service during eighteen ninety nine and probably up to the close of the century'
# - processed in 39.806 seconds.
# - WER = 0.0
# File (2300-131720-0037.flac):
# - 7.965 seconds long.
# - actual    text: 'he weighed and reweighed the meter plates and pursued every line of investigation imaginable but all in vain'
# - processed text: 'he weighed and re waved the meter plates and pursued every line of investigation imaginable but all in vain'
# - processed in 44.199 seconds.
# - WER = 0.111
# File (2300-131720-0038.flac):
# - 5.61 seconds long.
# - actual    text: 'he felt he was up against it and that perhaps another kind of a job would suit him better'
# - processed text: 'he felt he was up against it and that perhaps another kind of a job would suit him better'
# - processed in 31.625 seconds.
# - WER = 0.0
# File (2300-131720-0039.flac):
# - 2.385 seconds long.
# - actual    text: 'the problem was solved'
# - processed text: 'the problem was solved'
# - processed in 13.307 seconds.
# - WER = 0.0
# File (2300-131720-0040.flac):
# - 5.455 seconds long.
# - actual    text: 'we were more interested in the technical condition of the station than in the commercial part'
# - processed text: 'we were more interested in the technical condition of the station that in the commercial part'
# - processed in 29.95 seconds.
